Word,Target,Pred_DT,Pred_KNN,Pred_Hyb,Pred_HMM,Failures
xing,SH IH NG,Z IH NG,HH IH NG,Z IH NG,Z IH NG,4
adah,AE D AA,AH D AH,AH D AH,AH D AH,AH D AH,4
lubinsky,L AH B IH N S K IY,L UW B IH N S K IY,L UW M IH N S K IY,L UW B IH N S K IY,L UW B IH N S K IY,4
belies,B IH L AY Z,B IH L IY IY Z,B AH L IY Z,B IH L IY IY Z,B IH L IY IY Z,4
alaniz,AE L AH N IH Z,AH L AA N IY Z,AE L AE N IY Z,AH L AA N IY Z,AH L AA N IY Z,4
oyen,OY IH N,OY EH N,OW IH N,OY EH N,OY EH N,4
andolina,AA N D OW L IY N AH,AE N D AH L IY N AH,AE N D OW L IY N AH,AE N D AH L IY N AH,AE N D AH L IY N AH,4
macfadden,M AH K F AE D AH N,M AH K F AH D AH N,M AH AE D AH N,M AH K F AH D AH N,M AH K F AH D AH N,4
sandinistas,S AE N D IH N IY S T AH Z,S AE N D IH N AH S T AH Z,S AE N D IH N IH S T AH S,S AE N D IH N AH S T AH Z,S AE N D IH N AH S T AH Z,4
smokeless,S M OW K L AH S,S M OW K AH L AH S,S M OW K EH L AH S,S M OW K AH L AH S,S M OW K AH L AH S,4
offshored,AO F SH AO R D,AO F SH AO ER D,AO F SH AO ER D,AO F SH AO ER D,AO F SH AO ER D,4
mihalik,M IH HH AH L IH K,M IH HH AE L IH K,M AY HH AH L IH K,M IH HH AE L IH K,M IH HH AE L IH K,4
spine,S P AY N,S P IH N,S P IH N,S P IH N,S P IH N,4
cadogan,K AA D OW G AA N,K AH D AA G AH N,K AE N OW G AH N,K AH D AA G AH N,K AH D AA G AH N,4
pneumatics,N UH M AE T IH K S,N UW M AE T IH K S,P N M AE T IH K S,N UW M AE T IH K S,N UW M AE T IH K S,4
miscommunicate,M IH S K AH M Y UW N AH K EY T,M IH S K AA M Y UW N AH K EY T,M IH S K AH M IH N IH K EY T,M IH S K AA M Y UW N AH K EY T,M IH S K AA M Y UW N AH K EY T,4
dentin,D EH N T AH N,D EH N T IH N,D EH N T IH N,D EH N T IH N,D EH N T IH N,4
buffeting,B AH F EY IH NG,B AH F IH T IH NG,B AH F IH T IH NG,B AH F IH T IH NG,B AH F IH T IH NG,4
paraphrasing,P EH R AH F R EY Z IH NG,P EH R AH F R EY S IH NG,P EH R AH F R EY IH NG,P EH R AH F R EY S IH NG,P EH R AH F R EY S IH NG,4
paladino,P AA L AA D IY N OW,P AH L AH D IY N OW,P AE L AE D IH N OW,P AH L AH D IY N OW,P AH L AH D IY N OW,4
intracranial,IH N T R AH K R EY N IY AH L,IH N T R AH K R EY N Y AH L,IH N T R AE R EY N Y AH L,IH N T R AH K R EY N Y AH L,IH N T R AH K R EY N Y AH L,4
hierarchies,HH AY R AA R K IY Z,HH AY ER AA R K IY Z,HH ER R AA R K IY Z,HH AY ER AA R CH IY Z,HH AY ER AA R K IY Z,4
adonia,AA D OW N IY AH,AH D AA N IY AH,AH D AA N IH AH,AH D AA N IY AH,AH D AA N IY AH,4
maverick,M AE V ER IH K,M EY V ER IH K,M AE K ER R IH K,M EY V ER IH K,M EY V ER IH K,4
pavone,P AH V OW N,P AA V OW N,P AA V OW N,P AA V OW N,P AA V OW N,4
