Word,Pronunciation,Alignment
aaberg,AA B ER G,"[('a', '#'), ('a', 'AA'), ('b', 'B'), ('e', 'ER'), ('r', '#'), ('g', 'G')]"
aachen,AA K AH N,"[('a', '#'), ('a', 'AA'), ('c', 'K'), ('h', '#'), ('e', 'AH'), ('n', 'N')]"
aachener,AA K AH N ER,"[('a', '#'), ('a', 'AA'), ('c', 'K'), ('h', '#'), ('e', 'AH'), ('n', 'N'), ('e', 'ER'), ('r', '#')]"
aaker,AA K ER,"[('a', '#'), ('a', 'AA'), ('k', 'K'), ('e', 'ER'), ('r', '#')]"
aaliyah,AA L IY AA,"[('a', '#'), ('a', 'AA'), ('l', 'L'), ('i', 'IY'), ('y', '#'), ('a', 'AA'), ('h', '#')]"
aalseth,AA L S EH TH,"[('a', '#'), ('a', 'AA'), ('l', 'L'), ('s', 'S'), ('e', 'EH'), ('t', 'TH'), ('h', '#')]"
aamodt,AA M AH T,"[('a', '#'), ('a', 'AA'), ('m', 'M'), ('o', 'AH'), ('d', '#'), ('t', 'T')]"
aancor,AA N K AO R,"[('a', '#'), ('a', 'AA'), ('n', 'N'), ('c', 'K'), ('o', 'AO'), ('r', 'R')]"
aardema,AA R D EH M AH,"[('a', '#'), ('a', 'AA'), ('r', 'R'), ('d', 'D'), ('e', 'EH'), ('m', 'M'), ('a', 'AH')]"
aardvark,AA R D V AA R K,"[('a', '#'), ('a', 'AA'), ('r', 'R'), ('d', 'D'), ('v', 'V'), ('a', 'AA'), ('r', 'R'), ('k', 'K')]"
aargh,AA R G,"[('a', '#'), ('a', 'AA'), ('r', 'R'), ('g', 'G'), ('h', '#')]"
aarhus,AA HH UW S,"[('a', '#'), ('a', 'AA'), ('r', '#'), ('h', 'HH'), ('u', 'UW'), ('s', 'S')]"
aaron,EH R AH N,"[('a', '#'), ('a', 'EH'), ('r', 'R'), ('o', 'AH'), ('n', 'N')]"
aaronson,EH R AH N S AH N,"[('a', '#'), ('a', 'EH'), ('r', 'R'), ('o', 'AH'), ('n', 'N'), ('s', 'S'), ('o', 'AH'), ('n', 'N')]"
aarti,AA R T IY,"[('a', '#'), ('a', 'AA'), ('r', 'R'), ('t', 'T'), ('i', 'IY')]"
aase,AA S,"[('a', '#'), ('a', 'AA'), ('s', 'S'), ('e', '#')]"
