Word,Target,Pred_DT,Pred_Hyb,Pred_HMM,Failures
xing,SH IH NG,Z IH NG,Z IH NG,Z IH NG,3
adah,AE D AA,AH D AH,AH D AH,AH D AH,3
lubinsky,L AH B IH N S K IY,L UW B IH N S K IY,L UW B IH N S K IY,L UW B IH N S K IY,3
belies,B IH L AY Z,B IH L IY IY Z,B IH L IY IY Z,B IH L IY IY Z,3
alaniz,AE L AH N IH Z,AH L AA N IY Z,AH L AA N IY Z,AH L AA N IY Z,3
oyen,OY IH N,OY EH N,OY EH N,OY EH N,3
andolina,AA N D OW L IY N AH,AE N D AH L IY N AH,AE N D AH L IY N AH,AE N D AH L IY N AH,3
macfadden,M AH K F AE D AH N,M AH K F AH D AH N,M AH K F AH D AH N,M AH K F AH D AH N,3
sandinistas,S AE N D IH N IY S T AH Z,S AE N D IH N AH S T AH Z,S AE N D IH N AH S T AH Z,S AE N D IH N AH S T AH Z,3
smokeless,S M OW K L AH S,S M OW K AH L AH S,S M OW K AH L AH S,S M OW K AH L AH S,3
offshored,AO F SH AO R D,AO F SH AO ER D,AO F SH AO ER D,AO F SH AO ER D,3
mihalik,M IH HH AH L IH K,M IH HH AE L IH K,M IH HH AE L IH K,M IH HH AE L IH K,3
spine,S P AY N,S P IH N,S P IH N,S P IH N,3
cadogan,K AA D OW G AA N,K AH D AA G AH N,K AH D AA G AH N,K AH D AA G AH N,3
pneumatics,N UH M AE T IH K S,N UW M AE T IH K S,N UW M AE T IH K S,N UW M AE T IH K S,3
miscommunicate,M IH S K AH M Y UW N AH K EY T,M IH S K AA M Y UW N AH K EY T,M IH S K AA M Y UW N AH K EY T,M IH S K AA M Y UW N AH K EY T,3
dentin,D EH N T AH N,D EH N T IH N,D EH N T IH N,D EH N T IH N,3
buffeting,B AH F EY IH NG,B AH F IH T IH NG,B AH F IH T IH NG,B AH F IH T IH NG,3
isolated,AY S AH L EY T AH D,AY S AH L EY T IH D,AY S AH L EY T IH D,AY S AH L EY T IH D,3
pellerito,P EH L ER IY T OW,P EH L ER R IY T OW,P EH L ER R IY T OW,P EH L ER R IY T OW,3
paraphrasing,P EH R AH F R EY Z IH NG,P EH R AH F R EY S IH NG,P EH R AH F R EY S IH NG,P EH R AH F R EY S IH NG,3
paladino,P AA L AA D IY N OW,P AH L AH D IY N OW,P AH L AH D IY N OW,P AH L AH D IY N OW,3
intracranial,IH N T R AH K R EY N IY AH L,IH N T R AH K R EY N Y AH L,IH N T R AH K R EY N Y AH L,IH N T R AH K R EY N Y AH L,3
aspirant,AE S P ER AH N T,AE S P R AE N T,AE S P R AE N T,AE S P R AE N T,3
hierarchies,HH AY R AA R K IY Z,HH AY ER AA R K IY Z,HH AY ER AA R CH IY Z,HH AY ER AA R K IY Z,3
stance,S T AE N S,S T AH N S,S T AH N S,S T AH N S,3
adonia,AA D OW N IY AH,AH D AA N IY AH,AH D AA N IY AH,AH D AA N IY AH,3
maverick,M AE V ER IH K,M EY V ER IH K,M EY V ER IH K,M EY V ER IH K,3
pavone,P AH V OW N,P AA V OW N,P AA V OW N,P AA V OW N,3
conticommodity,K AA N T IH K AH M AA D IH T IY,K AH N T IH K AA M AA D AH T IY,K AH N T IH K AA M AA D AH T IY,K AH N T IH K AA M AA D AH T IY,3
